	type	scheme	stanza
5	line	ABCB	" med yndig majestet han går 
 som gjorde sinnet blått av romantikk 
 vansiret av laster sykdom og sår 
 plutselig stod stauper igjen for mitt blikk "
3	orig	AAB	"hva er det for et mektig lys
det farer som et hellig gys
igjennom sjelen"
4	orig	AABB	"skurken saulus løfter armen
atter dette stikk i barmen
denne angst de syner røde
taus han stirrer på den døde"
0	orig	ABCCAB	"frysende skinner det store og sanne
varme har titt klekket øgler av nid
du dødning deroppe sumpen er lunken
hat er på jorden himlen er sunken
så merk da med offerets islys vår panne
rid rytter rid"
15	base	-	" og til han far elsket sønn så fordum lystig vilje i oss inn 
 et øyeblik hadde det sin kaffe pant 
 ei for gull hun når hun er det spredte stråler 
 å trykke deres tale kjære 
 jeg vet dere gud har vår gud og ære 
 
 "
11	stanza	ABCB	" hvor bårer med skum over utsteinen slår 
 og kjølens siste bakker i det kildested 
 det første hender med høstens redsler død 
 hin yngste apall strør blikke hevet goder tå flyver ned "
2	orig	ABAB	"og bestefar fuglen i buret
som drømte om skogen ved gry
hans ansikt ble gråblekt og furet
av mørket og bråket i by"
12	stanza	ABCB	" vel fiolin 
 jeg satt med i varme hud 
 men stod under vold og fred 
 og maktet skjold hadde prisen gud "
13	stanza	AABB	" opp jeg bygge grensen bered 
 frossen fred 
 og lang er av prøvesten 
 bak arne ring gikk på høyens atten "
1	orig	ABCB	"da lyner et lys ned i dypet
en gnistrende sprøyt av ild
det glitrer av blånende bølger
er havet likevel til"
16	base	-	" på abel-meholas marker 
 i harpen i favn 
 og spiller 
 i skjebnens skjulte ro 
 hvorfor vil jeg deg til gavn 
 o når du er det tvilen er din tilflukt 
 i hvert hjerte ligger der 
 
 "
17	base	-	" er endelig i loddrett sprekk 
 allting er som en duft av lyst og av gryter 
 slik fatter ei så enn hans hjerte ei 
 lenge strålte ei for kamp han palmen hist 
 som hist leser liv på jord 
 
 "
10	stanza	ABCB	" nuets underveis 
 se det er det jovisst 
 der ligger så stille mot vest hvor sol går ned 
 som klippene og sluttet kvist "
14	stanza	AABB	" og følge i ro av savn ildstråleflor 
 hvor jeg spør deg han skjønnere skal storm 
 o gud og lenge lyse søstersønn 
 spredt jord og slappe slappe stæders trollmann krigerby vande vandringsmann beklemt lyster utsikt lønn "
6	line	ABCB	" og vever hele strandskogen inn i et spinn 
 en vinter-natt 
 rettferdighet bo i hans sinn 
 mannen ryster blek og matt "
9	line	AABB	" om langvarig slit i slavekår 
 med yndig majestet han går 
 men den som tok landskapet slik som om det er 
 den store seiersdag er nær "
19	base	-	" så stolt som sus av ført over vannet 
 bak litt av hundre om fabrikk 
 steg opp av deres dyp var plass 
 som vrak på femti favne 
 
 "
18	base	-	" da er det morgen 
 riktig riktig morgen 
 som ikke hva jeg krig vil 
 i disse bølgeslag 
 men du er dens vise 
 jeg vil gi deg tusenfold tilbake 
 
 "
7	line	ABCB	" ennu en dag uten den 
 tross venners advarsler bønner og klage 
 hvor engang hellig offerild 
 som du nå ser det glitre og tindre "
8	line	AABB	" der sisler stekepanner fylt med flesk og småmakrell 
 der sitter på fluberget tusner av fugl 
 menn og kvinner tatt i ed 
 der er rom hans lengsels mål og med "
