	type	scheme	stanza	pair_number	order_in_pair
20	stanza	ABAB	" her hørte dalen her så det seg svang 
 rundet det grønnes rikt på sved 
 og i folkerang 
 barnet dybwad var langsomt lang søkt fred "	0	1
0	orig	AABCCB	"sjo-i sjo-i hyss
sang jeg om et kyss
nei det gjorde jeg visst ikke
hørte du det du
kom det ei i hu
jeg vil late avbud skikke"	0	2
1	orig	ABAB	"du den høyeste blandt høye
du den viseste blandt vise
kun for deg jeg kne vil bøye
ene deg min sang skal prise"	1	0
18	line	ABAB	" inn i fjellets flammesky 
 en lovsangs brus som storm mot sky 
 fra sinnet på ny og på ny 
 fra sinnet på ny og på ny "	1	1
16	line	ABAB	" landets fiender og dro 
 la min unge søstersønn 
 der danset nå en brenning som aldri går til ro 
 føler han folkets gud i bønn "	2	1
2	orig	ABCBDD	"da som ville dyr
de fråder freser
stimler sammen
roper hveser
nicodemus fariseer
er og du en galileer"	2	2
15	line	ABAB	" han er jo 
 hva var det en guds fiolin 
 templet du har skjendet med vold og blod 
 især i det siste de trenger seg inn "	3	1
3	orig	ABAB	"tillykke med dåden dere frelste imperiet
mac donald og thomas og henderson
og jobben var hård dere fortjener en ferie
men først må dere kysse hr. baldwins hånd"	3	2
19	line	ABCB	" dødens bytte aldri blir 
 og budet våk og bed 
 som ormen dypt i muld 
 men ble lys for lys og fred "	4	1
4	orig	ABAB	"vel møtt i bølger hvor vi flyr
og hav er du forlatt
vel møtt i østens eventyr
mitt fedreland godnatt"	4	2
21	stanza	ABAB	" jeg kjenner dem og slang 
 der står ensom og tung og kry 
 bekymringer sang 
 lyster hill pelen gry "	5	1
5	orig	ABCB	"her blinker ingen stjerner gjennom natten
som stumme trusler om en evighet
her hvisker ikke mulmet mot mitt øre
sin uforståelige hemlighet"	5	2
26	base	-	" med kongen bud med il 
 og så han på sterke hender 
 i nattens skjul fra muren ned 
 
 "	6	1
6	orig	ABAB	"han truer jo den milde fred
som hviler over aftenlande
så tistler i den gode sed
som spirer etter krigens brande"	6	2
7	orig	ABCBBDD	"for alt som er igjen av ham er dette askebeger
han fødtes vel i stønn og skrik og blod
og møtte livet med et hyl av vrede
og over eventyrets høye bro
hvor solen hilste ham og stjerner lo
gikk barnet ned i menneskenes rike
der levet han blandt dem som var hans like"	7	0
17	line	ABAB	" svever omkring mannen ved det skrikende ror 
 det smiler atter en morgenstund 
 så falt hans ord 
 her treder hans fot på hellig grunn "	7	1
25	base	-	" paulus av dem andre dog han stand 
 dagens minner i brann 
 og de ser mot evighetens flod 
 og tente dagen over støvets veie 
 
 "	8	1
8	orig	ABAB	"omsider er han oppe men en storm som den han møter
ikveld har kalsen aldri møtt på noe hav han for
da hadde det vært bedre med arrest og brisk og bøter
der flyr det alt imot ham et par jernbeslåtte skor"	8	2
9	orig	ABABC	"hvo kan den liflighet beskrive
som sjelen i sin gud fornam
o at den lot seg fra ham rive
seg selv til evig last og skam
ti fienden nå dens høytidsdager"	9	0
24	stanza	ABCB	" og thomas og jakker 
 hvis budskap bed 
 for velfylt liv 
 tankens mæler var lang søkt fred "	9	1
29	base	-	" vi vet det ham dog må sprenges 
 skipet han kjenner seg kjemper 
 hver dag etter år 
 går mengden på sin tid 
 over seirens dag til gry 
 
 "	10	1
10	orig	ABAB	"det være en gud hvis arm
maktet å hele hver blødende vunde
der burde være en far ved hvis barm
det ensomme menneskebarn fikk blunde"	10	2
23	stanza	ABAB	" var ødegård 
 tegnet stjernen og meiet som grøden 
 og plutselig som vår 
 klarere sommerens glimter fornekter døden "	11	1
11	orig	ABCCAB	"evig det store skal skapes i smerte
alt skal du ofrelt hva skal du når
spør ikke håp ikke bøy deg for kravet
atlantis blir nådd når du synker i havet
ser du jehova o hungrende hjerte
skal du forgå"	11	2
12	orig	AABB	"mens lyset glitrer over hav
går silden i sin massegrav
og henger der og glitrer selv
med sølv i milliarder skjell"	12	0
27	base	-	" og tross den tross dødninghaven 
 over vennens liv er bange 
 hver gang han synger se ham 
 den er seirens dag til gry 
 
 "	12	1
28	base	-	" karmels rygg han lyder 
 vit dog det høye råd 
 og iver for med sinn 
 å belure mitt sinn 
 kan de kjenne gud min kjære 
 og se dem i kne 
 må vi herdes sammen til spille 
 
 "	13	1
13	orig	AAA	"mørsere gjødde og spydde det stank av karbol og blod
og menneskekjøtt som ble stekt på granatsplinters glo
skyttergravenes rekker av menn lå lik hvis de ikke stod"	13	2
22	stanza	ABAB	" jaget som fredløse søkte jeg avsted 
 den fart så blidt og bred 
 og storm og merk mitt liv stred 
 da tegner kysset 1 "	14	1
14	orig	ABCB	"i kjellerens klamme kvelende luft
går døperen ensom sin gang
fra oven lyder et dempet brus
av paukers og trommers klang"	14	2
