	type	scheme	stanza
5	line	AAA	" det larmet ikke stygt fra trikk og bil 
 hvor engang hellig offerild 
 han kom for en dag og kan bestille hva du vil "
3	orig	ABAB	"her speidet lengtende et land
da steg han frem av mørkets tid
og lyset var en baunens brann
stå opp og strid"
4	orig	AABCBCD	"men hva er det opp han farer
fulgt av store folkeskarer
som seg tett omkring ham sanker
jesus nærmer seg det sted
hvor hans båt har festet anker
hør hah taler hellig fred
over folkemengden senkes"
0	orig	ABAC	"og man har i disse egne
fra den tid et munnhell hatt
som i korthet kan betegne
gudmund storebingens kraft"
15	base	-	" så sår og glede bi deres hjerter uten ord 
 du hørte et menneske et hjertets skatt 
 og ingen mann er hård 
 
 "
11	stanza	AAA	" for hele havets tull 
 og i altet tryllerull 
 da ble opprørske grodde muld "
2	orig	ABAB	"skjønt nettenes rekke aldri tar slutt
og det mørkner på klokkeslett
er lysets bane aldri blitt brutt
eller dagenes ende sett"
12	stanza	AAA	" til han fikk sove en officer 
 minnes av en hjelm en tross officer 
 og mulden det var koldt lik en som var bak en såmann smertenes her "
13	stanza	ABAAB	" hvem er der jeg her stenger 's 
 jeg kom der la nå i det hele skal sage 
 stryke fossegrimens dans 
 så ville jeg i at reise en krans 
 av bårene lille rase lille solskinn hadde lysestake "
1	orig	AABCCB	"ja ned ifra veien mot fjære og ness
der solvinden kjemmer det bølgende gress
står kirkegårdsgravenes haver
og skjult bak om kjærgårdens hvitmalte hegn
står stener og stokker og korsstøpte tegn
med kranser og tall og bokstaver"
16	base	-	" likevel barn dertil mellom menn 
 kom barn da drikke 
 sine synders beske ve 
 "
17	base	-	" så må de ha vise 
 kan trenge seg inn 
 nå er den å farvel farvel 
 å farvel farvel 
 du som fulgte i somre atten 
 
 "
10	stanza	AAA	" fjellene i storfangst går og fuglesang 
 hvis morgenglans er klokkeklang 
 lukk mitt nordlys jøde kastes begynte stamsund flod nærmer sang "
14	stanza	ABAAB	" en smed 
 mildt der aldri får en flod 
 liten først dog tiden kunde de få bered 
 så kan han som kampens angst våk og bed 
 og blende lever neppe tankens vredes maktet evighetsro "
6	line	AAA	" og nære oss med himmelbrød 
 det er et grenseløst faderskjød 
 til folket å utfri av trelldom og nød "
9	line	ABAAB	" og lette seg fram i det sjungekor 
 med vindbøyde furustammer 
 for folket nå er gift og mord 
 så falt hans ord 
 og gir den glad til hvemsomhelst som kommer "
19	base	-	" ensomhet er du 
 hva skal israels gud 
 kong saul kneler ned 
 over de høye fjelle 
 du vet hva du skal og bøte 
 kun dens frihet gav 
 og at svenske sverd kan bite 
 litt om gangen av 
 "
18	base	-	" så lærer det reist seg i flokk fra vår fjord 
 og flykter i stimer til finnmark i nord 
 det står de himmelske duft mot himlens buer 
 som makter krig trygg hvor sjøene faller 
 å våkne til hav og ro går ut 
 mens solen i natten fra skyenes rull 
 har pusset mot havet sitt himmelske gull 
 som en skinnende lysestake 
 
 "
7	line	AAA	" forgjeves ei bud ble ham sendt 
 av arisk kraft til hundrede procent 
 hvem vet jeg her og ser hva er hendt "
8	line	ABAAB	" og siden fler som perler i en kjede 
 antiokia forstår 
 guds løftes land hans fot ei får betrede 
 de hjerter her var skapt av sorg og glede 
 og voktet gjeter kveg og får "
