	type	scheme	stanza	pair_number	order_in_pair
20	stanza	AABBCC	" bueganger 
 blånende bølger 
 tempelkor 
 denne jord 
 jeg husker för 
 i soldis morgenrøde trettes hvelvet jord "	0	1
0	orig	ABAB	"overalt han har spioner
kongen lytter lurer søker
hatets heslige visjoner
i hans hjerne stadig spøker"	0	2
1	orig	AABBCC	"fader o forlat dem hør
ti de vet ei hva de gjør
solen skinner gyllen stor
den sitt rike stråleflor
breder over bergets mylder
berget staden den forgyller"	1	0
18	line	AABBCC	" det ruller nokså ille og han setter sjøgangsben 
 det regner igjen 
 til deg så i hvis sanger-vår 
 med yndig majestet han går 
 ja selv sin egen salighet 
 og bøkene hos karpus som du vet "	1	1
2	orig	ABCB	"verden hvor er du full av gåter
kverner som hav i klippering
maler din must til lette fråder
knuser din kraft til ingenting"	2	0
16	line	AABBCC	" og alt er tomhet hvor helst han seg vender 
 og plogskaftet glider ut av hans hender 
 dog alt det mer og mer 
 der stod jeg hvor all verden er her 
 vi ser i stoffet enno kun det drøye 
 det syn som stadig funklet for hans øye "	2	1
3	orig	AABB	"skal vi så til liitzen flytte
lukke denne stråtakhytte
slepe farfars gamle stol
inn i svenskens æressol"	3	0
15	line	AABBCC	" stod sturen 
 høsten sommeren våren 
 ved sitt sterke krav til bot 
 velter nå i vår vår strid var hans mot 
 vi lar det hvile uten all protest 
 ved lampens skinn den sjeldne gjest "	3	1
4	orig	ABBA	"de slepes ut en dag med den sidste skjendtselslast
og sammen med sin byrde i dypet de senkes
i bunnens dynn og leire de råtne stavner lenkes
hvor haier på sin vandring i det dunkle holder rast"	4	0
19	line	AAA	" ham kjendte vil så korstog-ren 
 stryker om ham frisk og ren 
 da er det morgen "	4	1
5	orig	AABCDEFD	"tusenfold ve over hver
som volder besvær
som rører en finger
som åpner sin munn
for å klandre hans ferd
den finger skal lammes
den munn skal lukkes
med brann og med sverd"	5	0
21	stanza	AABBCC	" og hva det er fylt av liv og gammen 
 de røde drømmer under hammen 
 i dagene som fikk jeg fredløs i fart 
 sover her hvor nr. 13 er landet vårt 
 den grodde hvelv til stav og stat 
 vekker brødrene fordømt "	5	1
26	base	-	" skal vi bringe oss i dette bilde 
 og slekter som kjenner vår ætt 
 all nød og strid til dåd 
 
 "	6	1
6	orig	ABCB	"vidt over bygda faller
et skjær fra gyrisvoll
og som det siste gjenskinn
er dalens sagn om koll"	6	2
7	orig	ABAB	"i toget går en brutt en gammel mann
av tunge sorger er hans hode bøyet
landflyktig fremmed i sitt eget land
med kval i hjertet og med gråt i øyet"	7	0
17	line	AABBCC	" med motordur og bølgesprut 
 for sønnen å føre av vånden ut 
 ved kartet og famlende foreslår 
 med yndig majestet han går 
 en vergeløs svenn 
 hvis de stod på eidsvoll enn "	7	1
25	base	-	" men se han kommer med venner 
 på klippens bryst da lød 
 evangeliets herlige bud 
 
 "	8	1
8	orig	ABCDCB	"å våke over fedrelandets lover
å sørge for at ingenting forlises
er smukt betryggende for folkehellet
men det er skjønnere med ånd å våge
å slå med moses tryllestav på fjellet
skjønt nytten ei kan fattes og bevises"	8	2
24	stanza	AAA	" den hedningeby 
 ved heltens tordensky 
 lyster hill pelen gry "	9	1
9	orig	ABAB	"du bodde der ute på skjæret
alene med alle de små
tæt indunder sjøen og været
og kun sjelden mot landet du så"	9	2
10	orig	AAAABB	"først blygt som en stille og hjertemild regn
gaver og råd til den enkelte egn
så kunnskapens planenes skapende regn
over det hele nå landet har hegn
mot uårets makt i den rikere jord
den klokere hjerne det lysende ord"	10	0
29	base	-	" da løfter han løfter sin stridens brann 
 igjennom bygene og sneens fall 
 mens bølgeskogen som en vakt av tidsler 
 omkring dens krone suser mørkt og hvisler 
 
 "	10	1
23	stanza	AABBCC	" har din kulde rød 
 nød 
 engang var full av bann 
 bedre fuglen oss i land 
 fra løgn vårt vane-gjengeri 
 år og synge fri "	11	1
11	orig	ABAB	"sangen har evighet derfor den skyter
fortid og fremtid i hop for ditt syn
tenner uendelig attrå og flyter
bort i et lys-hav av lengsler og lyn"	11	2
27	base	-	" da stod de på sterke vakt 
 rundt rundt og går rundt de to 
 to de sterke talløse hender 
 i nattens skjul fra muren ned 
 
 "	12	1
12	orig	ABCB	"der vokste lengslens vinger
der fødtes barnets bønn
kanhende tarsus hegner
sin hårdt forfulgte sønn"	12	2
13	orig	ABCB	"storm og tåke og blindskjær
med det var vi vant å stri
ubåter fly og miner
det får vi finne oss i"	13	0
28	base	-	" men hva er det unge vår 
 men bestandig er da ofte det glemt 
 kan du si hva du får nye flagg 
 en hilsen fra det til evig land 
 
 "	13	1
14	orig	ABAB	"det er kong david av sin egen sønn
fra landets kongetrone truet jaget
hvis opprørsplaner modnet er i lønn
nå er han ferdig frekt han våger slaget"	14	0
22	stanza	AABBCC	" så er jeg rede hvis du må 
 graver velter nå 
 er dagen lang hist i ditt amen 
 din fjord når solen 
 bak gondvanaland 
 lyktenes brune i holmer slør land "	14	1
